name,response,prompt
Obadiah Stane, Let's take a picture. Come on. Picture time! Tony. Who do you think locked you out? I was the one who filed the injunction against you. It was the only way I could protect you.," Tony, your picture, please!"
Obadiah Stane, No. No.,<<NO PROMPT>>
TV Reporter," The 15-mile hike to the outskirts of Gulmira can only be described as a descent into hell, into a modern-day Heart of Darkness. Simple farmers and herders from peaceful villages have been driven from their homes, displaced from their lands by warlords emboldened by a new-found power. Villagers have been forced to take shelter in whatever crude dwellings they can find in the ruins of other villages, or here in the remnants of an old Soviet smelting plant. Recent violence has been attributed to a group of foreign fighters referred to by locals as the Ten Rings. As you can see, these men are heavily armed and on a mission. A mission that could prove fatal to anyone who stands in their way. With no political will or international pressure, there's very little hope for these refugees. Around me, a woman begging for news on her husband, who was kidnapped by insurgents, either forced to join their militia. Desperate refugees clutch yellowed photographs, holding them up to anyone who will stop. A child's simple question, ""Where are my mother and father?"" There's very little hope for these refugees, refugees who can only wonder who, if anyone, will help.", No. No.
Tony, He's all yours.," The 15-mile hike to the outskirts of Gulmira can only be described as a descent into hell, into a modern-day Heart of Darkness. Simple farmers and herders from peaceful villages have been driven from their homes, displaced from their lands by warlords emboldened by a new-found power. Villagers have been forced to take shelter in whatever crude dwellings they can find in the ruins of other villages, or here in the remnants of an old Soviet smelting plant. Recent violence has been attributed to a group of foreign fighters referred to by locals as the Ten Rings. As you can see, these men are heavily armed and on a mission. A mission that could prove fatal to anyone who stands in their way. With no political will or international pressure, there's very little hope for these refugees. Around me, a woman begging for news on her husband, who was kidnapped by insurgents, either forced to join their militia. Desperate refugees clutch yellowed photographs, holding them up to anyone who will stop. A child's simple question, ""Where are my mother and father?"" There's very little hope for these refugees, refugees who can only wonder who, if anyone, will help."
Captain, What the hell was that? Were we cleared to go in there?, He's all yours.
Major Allen, Put me through to State. They're going to be all over this., What the hell was that? Were we cleared to go in there?
Major Allen, We got the CIA on the line?,<<NO PROMPT>>
Captain, I've got Langley on the line. They want to know if it's us., We got the CIA on the line?
Major Allen, I need answers! Can I please get eyes on target?, I've got Langley on the line. They want to know if it's us.
Major Allen, Get me Colonel Rhodes from weapons development down here now!,<<NO PROMPT>>
Major Allen, We ran an ID check and cross-referenced with all known databases. We have nothing.,<<NO PROMPT>>
James Rhodes, Any high-altitude surveillance in the region?, We ran an ID check and cross-referenced with all known databases. We have nothing.
Captain, We got an AWAC and a Global Hawk in the area., Any high-altitude surveillance in the region?
James Rhodes," So, this thing just appeared out of nowhere? How come it didn't show up on the radar?", We got an AWAC and a Global Hawk in the area.
James Rhodes, Is it stealth?,<<NO PROMPT>>
Major Allen," Colonel, what are we dealing with here?", Is it stealth?
James Rhodes, Let me make a call.," Colonel, what are we dealing with here?"
Major Allen," Sergeant, clear a hole.", Let me make a call.
Tony, Hello?," Sergeant, clear a hole."
James Rhodes, Tony?, Hello?
Tony, Who's this?, Tony?
James Rhodes, It's Rhodes., Who's this?
Tony," Sorry, hello?", It's Rhodes.
James Rhodes, I said it's Rhodes.," Sorry, hello?"
Tony," Speak up, please.", I said it's Rhodes.
James Rhodes, What in the hell is that noise?," Speak up, please."
Tony," Oh, yeah, I'm driving with the top down.", What in the hell is that noise?
James Rhodes," Yeah, well, I need your help right now."," Oh, yeah, I'm driving with the top down."
Tony," It's funny how that works, huh?"," Yeah, well, I need your help right now."
James Rhodes," Yeah. Speaking of funny, we've got a weapons depot that was just blown up a few clicks from where you were being held captive."," It's funny how that works, huh?"
Tony," Well, that's a hot spot. Sounds like someone stepped in and did your job for you, huh?"," Yeah. Speaking of funny, we've got a weapons depot that was just blown up a few clicks from where you were being held captive."
James Rhodes," Why do you sound out of breath, Tony?"," Well, that's a hot spot. Sounds like someone stepped in and did your job for you, huh?"
Tony," I'm not, I was just jogging in the canyon."," Why do you sound out of breath, Tony?"
James Rhodes, I thought you were driving.," I'm not, I was just jogging in the canyon."
Tony," Right, I was driving to the canyon, where I'm going to jog.", I thought you were driving.
James Rhodes, You sure you don't have any tech in that area I should know about?," Right, I was driving to the canyon, where I'm going to jog."
Tony, Nope!, You sure you don't have any tech in that area I should know about?
James Rhodes," Okay, good, 'cause I'm staring at one right now, and it's about to be blown to kingdom come.", Nope!
Tony, That's my exit.," Okay, good, 'cause I'm staring at one right now, and it's about to be blown to kingdom come."
James Rhodes," Whiplash One, what is it?", That's my exit.
Major Allen, You have radio contact?," Whiplash One, what is it?"
Major Allen, Then you are clear to engage.,<<NO PROMPT>>
Tony, Hit it., Then you are clear to engage.
JARVIS, Inbound missile., Hit it.
Tony, Flares!, Inbound missile.
Tony, Deploy flaps!,<<NO PROMPT>>
Major Allen, What is it?, Deploy flaps!
James Rhodes, Hello?, What is it?
Tony," Hi, Rhodey, it's me.", Hello?
James Rhodes, It's who?," Hi, Rhodey, it's me."
Tony," I'm sorry, it is me. You asked. What you were asking about is me.", It's who?
James Rhodes," No, see, this isn't a game. You do not send civilian equipment into my active war zone. You understand that?"," I'm sorry, it is me. You asked. What you were asking about is me."
Tony, This is not a piece of equipment. I'm in it. It's a suit. It's me!," No, see, this isn't a game. You do not send civilian equipment into my active war zone. You understand that?"
Major Allen," Rhodey, you got anything for me?", This is not a piece of equipment. I'm in it. It's a suit. It's me!
Major Allen, Mark your position and return to base.,<<NO PROMPT>>
Major Allen," Whiplash Two, reengage. If you get a clear shot, you take it.",<<NO PROMPT>>
James Rhodes," Major, we don't even know what we're shooting at. Call off the Raptors."," Whiplash Two, reengage. If you get a clear shot, you take it."
Major Allen," That thing just took out an F-22 inside a legal no fly zone! Whiplash Two, if you have a clear shot, take it!"," Major, we don't even know what we're shooting at. Call off the Raptors."
JARVIS, You've been reengaged. Execute evasive maneuver.," That thing just took out an F-22 inside a legal no fly zone! Whiplash Two, if you have a clear shot, take it!"
James Rhodes," Tony, you still there?", You've been reengaged. Execute evasive maneuver.
Tony," Hey, thanks."," Tony, you still there?"
James Rhodes," Oh, my God, you crazy son of a bitch. You owe me a plane. You know that, right?"," Hey, thanks."
Tony," Yeah, well, technically, he hit me. Now are you going to come by and see what I'm working on?"," Oh, my God, you crazy son of a bitch. You owe me a plane. You know that, right?"
James Rhodes," No, no, no, no, no, no, the less I know, the better. Now, what am I supposed to tell the press?"," Yeah, well, technically, he hit me. Now are you going to come by and see what I'm working on?"
Tony, Training exercise. Isn't that the usual BS?," No, no, no, no, no, no, the less I know, the better. Now, what am I supposed to tell the press?"
James Rhodes," It's not that simple. An unfortunate training exercise involving an F-22 Raptor occurred yesterday. I am pleased to report that the pilot was not injured. As for the unexpected turn of events on the ground in Gulmira, it is still unclear who or what intervened, but I can assure you that the United States government was not involved.", Training exercise. Isn't that the usual BS?
Tony, Hey!," It's not that simple. An unfortunate training exercise involving an F-22 Raptor occurred yesterday. I am pleased to report that the pilot was not injured. As for the unexpected turn of events on the ground in Gulmira, it is still unclear who or what intervened, but I can assure you that the United States government was not involved."
JARVIS," It is a tight fit, sir. Sir, the more you struggle, the more this is going to hurt.", Hey!
Tony," Be gentle. This is my first time. I designed this to come off, so... Hey. I really should be able to..."," It is a tight fit, sir. Sir, the more you struggle, the more this is going to hurt."
JARVIS," Please, try not to move, sir."," Be gentle. This is my first time. I designed this to come off, so... Hey. I really should be able to..."
Pepper Potts, What's going on here?," Please, try not to move, sir."
Tony, Let's face it. This is not the worst thing you've caught me doing., What's going on here?
Pepper Potts, Are those bullet holes?, Let's face it. This is not the worst thing you've caught me doing.
Raza, Welcome. Compliments of Tony., Are those bullet holes?
Obadiah Stane," If you'd killed him when you were supposed to, you'd still have a face.", Welcome. Compliments of Tony.
Raza, You paid us trinkets to kill a prince.," If you'd killed him when you were supposed to, you'd still have a face."
Obadiah Stane, Show me the weapon., You paid us trinkets to kill a prince.
Raza, Come. Leave your guards outside.  His escape bore unexpected fruit., Show me the weapon.
Obadiah Stane, So this is how he did it., Come. Leave your guards outside.  His escape bore unexpected fruit.
Raza," This is only a first, crude effort. Stark has perfected his design. He has made a masterpiece of death. A man with a dozen of these can rule all of Asia. And you dream of Stark's throne. We have a common enemy. If we are still in business, I will give you these designs... as a gift. And in turn, I hope you'll repay me with a gift of iron soldiers.", So this is how he did it.
Obadiah Stane," Technology.  It's always been your Achilles' heel in this part of the world. Don't worry. It'll only last for 15 minutes. That's the least of your problems.  Crate up the armor and the rest of it. All right, let's finish up here."," This is only a first, crude effort. Stark has perfected his design. He has made a masterpiece of death. A man with a dozen of these can rule all of Asia. And you dream of Stark's throne. We have a common enemy. If we are still in business, I will give you these designs... as a gift. And in turn, I hope you'll repay me with a gift of iron soldiers."
Obadiah Stane,"  Set up Sector 16 underneath the arc reactor, and I'm going to want this data masked. Recruit our top engineers. I want a prototype right away.",<<NO PROMPT>>
Tony," Hey. You busy? You mind if I send you on an errand? I need you to go to my office. You're going to hack into the mainframe and you're going to retrieve all the recent shipping manifests. This is a lock chip. This'll get you in. It's probably under Executive Files. If not, they put it on a ghost drive, in which case you need to look for the lowest numeric heading.","  Set up Sector 16 underneath the arc reactor, and I'm going to want this data masked. Recruit our top engineers. I want a prototype right away."
Pepper Potts, And what do you plan to do with this information if I bring it back here?," Hey. You busy? You mind if I send you on an errand? I need you to go to my office. You're going to hack into the mainframe and you're going to retrieve all the recent shipping manifests. This is a lock chip. This'll get you in. It's probably under Executive Files. If not, they put it on a ghost drive, in which case you need to look for the lowest numeric heading."
Tony," Same drill. They've been dealing under the table, and I'm going to stop them. I'm going to find my weapons and destroy them.", And what do you plan to do with this information if I bring it back here?
Pepper Potts," Tony, you know that I would help you with anything, but I cannot help you if you're going to start all of this again."," Same drill. They've been dealing under the table, and I'm going to stop them. I'm going to find my weapons and destroy them."
Tony, There is nothing except this. There's no art opening. There is no benefit. There is nothing to sign. There is the next mission and nothing else.," Tony, you know that I would help you with anything, but I cannot help you if you're going to start all of this again."
Pepper Potts," Is that so? Well, then, I quit. ", There is nothing except this. There's no art opening. There is no benefit. There is nothing to sign. There is the next mission and nothing else.
Tony," You stood by my side all these years while I reaped the benefits of destruction. And now that I'm trying to protect the people that I put in harm's way, you're going to walk out?"," Is that so? Well, then, I quit. "
Pepper Potts," You're going to kill yourself, Tony. I'm not going to be a part of it."," You stood by my side all these years while I reaped the benefits of destruction. And now that I'm trying to protect the people that I put in harm's way, you're going to walk out?"
Tony," I shouldn't be alive, unless it was for a reason. I'm not crazy, Pepper. I just finally know what I have to do. And I know in my heart that it's right."," You're going to kill yourself, Tony. I'm not going to be a part of it."
Pepper Potts,"  You're all I have, too, you know.  Sector 16? What are you up to, Obadiah? "," I shouldn't be alive, unless it was for a reason. I'm not crazy, Pepper. I just finally know what I have to do. And I know in my heart that it's right."
Video Voice Over," You did not tell us that the target you paid us to kill was the great Tony. As you can see, Obadiah Stane...","  You're all I have, too, you know.  Sector 16? What are you up to, Obadiah? "
Pepper Potts," Oh, my God."," You did not tell us that the target you paid us to kill was the great Tony. As you can see, Obadiah Stane..."
Video Voice Over, ... your deception and lies will cost you dearly. The price to kill Tony has just gone up.," Oh, my God."
Obadiah Stane,"  So, what are we going to do about this? I know what you're going through, Pepper. Tony. He always gets the good stuff, doesn't he? I was so happy when he came home. It was like we got him back from the dead. Now I realize, well, Tony never really did come home, did he? He left a part of himself in that cave. Breaks my heart.", ... your deception and lies will cost you dearly. The price to kill Tony has just gone up.
Pepper Potts," Well, he's a complicated person. He's been through a lot. I think he'll be all right.","  So, what are we going to do about this? I know what you're going through, Pepper. Tony. He always gets the good stuff, doesn't he? I was so happy when he came home. It was like we got him back from the dead. Now I realize, well, Tony never really did come home, did he? He left a part of himself in that cave. Breaks my heart."
Obadiah Stane, You are a very rare woman. Tony doesn't know how lucky he is.," Well, he's a complicated person. He's been through a lot. I think he'll be all right."
Pepper Potts, Thank you. Thanks. I'd better get back there. , You are a very rare woman. Tony doesn't know how lucky he is.
Obadiah Stane, Is that today's paper?, Thank you. Thanks. I'd better get back there. 
Pepper Potts, Yes., Is that today's paper?
Obadiah Stane, Do you mind?, Yes.
Pepper Potts, Not at all., Do you mind?
Obadiah Stane, Puzzle., Not at all.
Pepper Potts, Of course., Puzzle.
Obadiah Stane, Take care. , Of course.
Agent Coulson, Ms. Potts? We had an appointment. Did you forget about our appointment?, Take care. 
Pepper Potts," Nope, right now. Come with me.", Ms. Potts? We had an appointment. Did you forget about our appointment?
Agent Coulson, Right now?," Nope, right now. Come with me."
Pepper Potts," We're going to have it right now. Yeah, walk with me.", Right now?
Agent Coulson, Okay.," We're going to have it right now. Yeah, walk with me."
Pepper Potts, I'm going to give you the meeting of your life. Your office., Okay.
William,"  Yeah, we've been working our best to do it. Absolutely, we're... I'm going to have to call you back.  Mr. Stane? Sir, we've explored what you've asked us, and it seems as though there's a little hiccup. Actually...", I'm going to give you the meeting of your life. Your office.
Obadiah Stane, A hiccup?,"  Yeah, we've been working our best to do it. Absolutely, we're... I'm going to have to call you back.  Mr. Stane? Sir, we've explored what you've asked us, and it seems as though there's a little hiccup. Actually..."
William," Yes, to power the suit, sir, the technology actually doesn't exist. So, it's...", A hiccup?
Obadiah Stane," Wait, wait, wait. The technology? William, here is the technology. I've asked you to simply make it smaller."," Yes, to power the suit, sir, the technology actually doesn't exist. So, it's..."
William," Okay, sir, and that's what we're trying to do, but honestly, it's impossible."," Wait, wait, wait. The technology? William, here is the technology. I've asked you to simply make it smaller."
Obadiah Stane, Tony was able to build this in a cave! With a box of scraps!," Okay, sir, and that's what we're trying to do, but honestly, it's impossible."
William," Well, I'm sorry. I'm not Tony.", Tony was able to build this in a cave! With a box of scraps!
Pepper Potts,"  Tony? Tony, are you there? Hello?"," Well, I'm sorry. I'm not Tony."
Obadiah Stane,"  Breathe. Easy, easy. You remember this one, right? It's a shame the government didn't approve it. There's so many applications for causing short-term paralysis. Tony. When I ordered the hit on you, I worried that I was killing the golden goose. But, you see, it was just fate that you survived that.  You had one last golden egg to give. Do you really think that just because you have an idea, it belongs to you? Your father, he helped give us the atomic bomb. Now, what kind of world would it be today if he was as selfish as you? Oh, it's beautiful. Tony, this is your Ninth Symphony. What a masterpiece. Look at that. This is your legacy. A new generation of weapons with this at its heart. Weapons that will help steer the world back on course, put the balance of power in our hands. The right hands. I wish you could've seen my prototype. It's not as... Well, not as conservative as yours. Too bad you had to involve Pepper in this. I would have preferred that she lived.","  Tony? Tony, are you there? Hello?"
James Rhodes,"  What do you mean, he paid to have Tony killed? Pepper, slow down. Why would Obadiah... Okay, where's Tony now?","  Breathe. Easy, easy. You remember this one, right? It's a shame the government didn't approve it. There's so many applications for causing short-term paralysis. Tony. When I ordered the hit on you, I worried that I was killing the golden goose. But, you see, it was just fate that you survived that.  You had one last golden egg to give. Do you really think that just because you have an idea, it belongs to you? Your father, he helped give us the atomic bomb. Now, what kind of world would it be today if he was as selfish as you? Oh, it's beautiful. Tony, this is your Ninth Symphony. What a masterpiece. Look at that. This is your legacy. A new generation of weapons with this at its heart. Weapons that will help steer the world back on course, put the balance of power in our hands. The right hands. I wish you could've seen my prototype. It's not as... Well, not as conservative as yours. Too bad you had to involve Pepper in this. I would have preferred that she lived."
Pepper Potts,"  I don't know. He's not answering his phone. Please go over there and make sure everything's okay. Thank you, Rhodey. I know a shortcut.","  What do you mean, he paid to have Tony killed? Pepper, slow down. Why would Obadiah... Okay, where's Tony now?"
Tony,  Good boy.,"  I don't know. He's not answering his phone. Please go over there and make sure everything's okay. Thank you, Rhodey. I know a shortcut."
James Rhodes, Tony? Tony? Tony? Tony? Tony! Tony! You okay?,  Good boy.
Tony, Where's Pepper?, Tony? Tony? Tony? Tony? Tony! Tony! You okay?
James Rhodes, She's fine. She's with five agents. They're about to arrest Obadiah., Where's Pepper?
Tony, That's not going to be enough., She's fine. She's with five agents. They're about to arrest Obadiah.
Pepper Potts," Section 16. Section 16. There it is. My key's not working. It's not opening the door. Oh, wow! What's that? It's, like, a little device. It's, like, a thing that's going to pick the lock?", That's not going to be enough.
Agent Coulson, You might want to take a few steps back.," Section 16. Section 16. There it is. My key's not working. It's not opening the door. Oh, wow! What's that? It's, like, a little device. It's, like, a thing that's going to pick the lock?"
James Rhodes, That's the coolest thing I've ever seen., You might want to take a few steps back.
Tony," Not bad, huh? Let's do it.", That's the coolest thing I've ever seen.
James Rhodes, You need me to do anything else?," Not bad, huh? Let's do it."
Tony, Keep the skies clear., You need me to do anything else?
James Rhodes," Damn! Next time, baby.", Keep the skies clear.
Agent Coulson, Looks like you were right. He was building a suit.," Damn! Next time, baby."
Pepper Potts, I thought it'd be bigger., Looks like you were right. He was building a suit.
Tony, How do you think the Mark One chest piece is going to hold up?, I thought it'd be bigger.
JARVIS," The suit's at 48% power and falling, sir. That chest piece was never designed for sustained flight.", How do you think the Mark One chest piece is going to hold up?
Tony, Keep me posted. Pepper!," The suit's at 48% power and falling, sir. That chest piece was never designed for sustained flight."
Pepper Potts," Tony! Tony, are you okay?", Keep me posted. Pepper!
Tony, I'm fine. How are...," Tony! Tony, are you okay?"
Pepper Potts," Obadiah, he's gone insane!", I'm fine. How are...
Tony," I know. Listen, you'd better get out of there."," Obadiah, he's gone insane!"
Pepper Potts, He built a suit.," I know. Listen, you'd better get out of there."
Tony, Get out of there right now!, He built a suit.
Obadiah Stane, Where do you think you're going? Your services are no longer required., Get out of there right now!
Tony, Stane!, Where do you think you're going? Your services are no longer required.
Obadiah Stane, I love this suit!, Stane!
Tony, Put them down!, I love this suit!
Obadiah Stane," Collateral damage, Tony.", Put them down!
Tony, Divert power to chest RT.," Collateral damage, Tony."
Jarvis, Power reduced to 19%., Divert power to chest RT.
Tony," Lady! No, no, no, no, no, no!", Power reduced to 19%.
Obadiah Stane," For 30 years, I've been holding you up! I built this company from nothing! Nothing is going to stand in my way. Least of all... you! Impressive. You've upgraded your armor! I've made some upgrades of my own!"," Lady! No, no, no, no, no, no!"
JARVIS," Sir, it appears that his suit can fly."," For 30 years, I've been holding you up! I built this company from nothing! Nothing is going to stand in my way. Least of all... you! Impressive. You've upgraded your armor! I've made some upgrades of my own!"
Tony, Duly noted. Take me to maximum altitude.," Sir, it appears that his suit can fly."
JARVIS," With only 15% power, the odds of reaching that--", Duly noted. Take me to maximum altitude.
Tony, I know the math! Do it!," With only 15% power, the odds of reaching that--"
James Rhodes," Not necessary, people. Just a training exercise.", I know the math! Do it!
JARVIS," Thirteen percent power, sir."," Not necessary, people. Just a training exercise."
Tony, Climb!," Thirteen percent power, sir."
JARVIS, Eleven percent., Climb!
Tony, Keep going!, Eleven percent.
JARVIS, Seven percent power., Keep going!
Tony, Just leave it on the screen! Stop telling me!, Seven percent power.
Obadiah Stane," You had a great idea, Tony, but my suit is more advanced in every way!", Just leave it on the screen! Stop telling me!
Tony, How'd you solve the icing problem?," You had a great idea, Tony, but my suit is more advanced in every way!"
Obadiah Stane, Icing problem?, How'd you solve the icing problem?
Tony, Might want to look into it., Icing problem?
JARVIS, Two percent. We are now running on emergency backup power., Might want to look into it.
Tony, Woah! Potts!, Two percent. We are now running on emergency backup power.
Pepper Potts," Tony! Oh, my God, are you okay?", Woah! Potts!
Tony, I'm almost out of power. I've got to get out of this thing. I'll be right there.," Tony! Oh, my God, are you okay?"
Obadiah Stane, Nice try!, I'm almost out of power. I've got to get out of this thing. I'll be right there.
Tony, Weapons status?, Nice try!
JARVIS, Repulsors offline. Missiles offline., Weapons status?
Tony, Flares!, Repulsors offline. Missiles offline.
Obadiah Stane," Very clever, Tony.", Flares!
Tony, Potts?," Very clever, Tony."
Pepper Potts, Tony!, Potts?
Tony, This isn't working. We're going to have to overload the reactor and blast the roof., Tony!
Pepper Potts," Well, how are you going to do that?", This isn't working. We're going to have to overload the reactor and blast the roof.
Tony," You're going to do it. Go to the central console, open up all the circuits. When I get clear of the roof, I'll let you know. You're going to hit the master bypass button. It's going to fry everything up here."," Well, how are you going to do that?"
Pepper Potts, Okay. I'm going in now.," You're going to do it. Go to the central console, open up all the circuits. When I get clear of the roof, I'll let you know. You're going to hit the master bypass button. It's going to fry everything up here."
Tony, Make sure you wait till I clear the roof. I'll buy you some time. This looks important! , Okay. I'm going in now.
Obadiah Stane," I never had a taste for this sort of thing, but I must admit, I'm deeply enjoying the suit! You finally outdid yourself, Tony! You'd have made your father proud!", Make sure you wait till I clear the roof. I'll buy you some time. This looks important! 
Pepper Potts," It's ready, Tony! Get off the roof! Tony!"," I never had a taste for this sort of thing, but I must admit, I'm deeply enjoying the suit! You finally outdid yourself, Tony! You'd have made your father proud!"
Obadiah Stane," How ironic, Tony! Trying to rid the world of weapons, you gave it its best one ever!"," It's ready, Tony! Get off the roof! Tony!"
Tony, Pepper!," How ironic, Tony! Trying to rid the world of weapons, you gave it its best one ever!"
Obadiah Stane, And now I'm going to kill you with it! You ripped out my targeting system!, Pepper!
Tony, Time to hit the button!, And now I'm going to kill you with it! You ripped out my targeting system!
Pepper Potts, You told me not to!, Time to hit the button!
Obadiah Stane," Hold still, you little prick!", You told me not to!
Tony, Just do it!," Hold still, you little prick!"
Pepper Potts, You'll die!, Just do it!
Tony, Push it!, You'll die!
Pepper Potts, Tony!, Push it!
James Rhodes,"  You've all received the official statement of what occurred at Stark Industries last night. There have been unconfirmed reports that a robotic prototype malfunctioned and caused damage to the arc reactor. Fortunately, a member of Tony's personal security staff...", Tony!
Tony," ""Iron Man."" That's kind of catchy. It's got a nice ring to it. I mean, it's not technically accurate. The suit's a gold-titanium alloy, but it's kind of evocative, the imagery, anyway.","  You've all received the official statement of what occurred at Stark Industries last night. There have been unconfirmed reports that a robotic prototype malfunctioned and caused damage to the arc reactor. Fortunately, a member of Tony's personal security staff..."
Agent Coulson, Here's your alibi.," ""Iron Man."" That's kind of catchy. It's got a nice ring to it. I mean, it's not technically accurate. The suit's a gold-titanium alloy, but it's kind of evocative, the imagery, anyway."
Tony, Okay?, Here's your alibi.
Agent Coulson, You were on your yacht., Okay?
Tony, Yeah., You were on your yacht.
Agent Coulson," We have port papers that put you in Avalon all night, and sworn statements from 50 of your guests.", Yeah.
Tony," See, I was thinking maybe we should say it was just Pepper and me alone on the island."," We have port papers that put you in Avalon all night, and sworn statements from 50 of your guests."
Agent Coulson, That's what happened.," See, I was thinking maybe we should say it was just Pepper and me alone on the island."
Tony, All right., That's what happened.
Agent Coulson," Just read it, word for word.", All right.
Tony, There's nothing about Stane here.," Just read it, word for word."
Agent Coulson, That's being handled. He's on vacation. Small aircraft have such a poor safety record., There's nothing about Stane here.
Tony," But what about the whole cover story that it's a bodyguard? He's my... I mean, is that... That's kind of flimsy, don't you think?", That's being handled. He's on vacation. Small aircraft have such a poor safety record.
Agent Coulson," This isn't my first rodeo, Mr. Stark. Just stick to the official statement, and soon, this will all be behind you. You've got 90 seconds."," But what about the whole cover story that it's a bodyguard? He's my... I mean, is that... That's kind of flimsy, don't you think?"
Pepper Potts, Agent Coulson? I just wanted to say thank you very much for all of your help.," This isn't my first rodeo, Mr. Stark. Just stick to the official statement, and soon, this will all be behind you. You've got 90 seconds."
Agent Coulson, That's what we do. You'll be hearing from us., Agent Coulson? I just wanted to say thank you very much for all of your help.
Pepper Potts, From the Strategic Homeland..., That's what we do. You'll be hearing from us.
Agent Coulson, Just call us S.H.I.E.L.D., From the Strategic Homeland...
Pepper Potts, Right. Let's get this show on the road., Just call us S.H.I.E.L.D.
Tony," You know, it's actually not that bad. Even I don't think I'm Iron Man.", Right. Let's get this show on the road.
Pepper Potts, You're not Iron Man.," You know, it's actually not that bad. Even I don't think I'm Iron Man."
Tony, Am so., You're not Iron Man.
Pepper Potts, You're not., Am so.
Tony," All right, suit yourself. You know, if I were Iron Man, I'd have this girlfriend who knew my true identity. She'd be a wreck, 'cause she'd always be worrying that I was going to die, yet so proud of the man I'd become. She'd be wildly conflicted, which would only make her more crazy about me. Tell me you never think about that night.", You're not.
Pepper Potts, What night?," All right, suit yourself. You know, if I were Iron Man, I'd have this girlfriend who knew my true identity. She'd be a wreck, 'cause she'd always be worrying that I was going to die, yet so proud of the man I'd become. She'd be wildly conflicted, which would only make her more crazy about me. Tell me you never think about that night."
Tony, You know., What night?
Pepper Potts," Are you talking about the night that we danced and went up on the roof, and then you went downstairs to get me a drink, and you left me there, by myself? Is that the night you're talking about? Thought so. Will that be all, Mr. Stark?", You know.
Tony," Yes, that will be all, Miss Potts."," Are you talking about the night that we danced and went up on the roof, and then you went downstairs to get me a drink, and you left me there, by myself? Is that the night you're talking about? Thought so. Will that be all, Mr. Stark?"
James Rhodes," And now, Mr. Stark has prepared a statement. He will not be taking any questions."," Yes, that will be all, Miss Potts."
Tony, Thank you. Been a while since I was in front of you. I figure I'll stick to the cards this time. There's been speculation that I was involved in the events that occurred on the freeway and the rooftop...," And now, Mr. Stark has prepared a statement. He will not be taking any questions."
Christine Everhart," I'm sorry, Mr. Stark, but do you honestly expect us to believe that that was a bodyguard in a suit that conveniently appeared, despite the fact that you...", Thank you. Been a while since I was in front of you. I figure I'll stick to the cards this time. There's been speculation that I was involved in the events that occurred on the freeway and the rooftop...
Tony," I know that it's confusing. It is one thing to question the official story, and another thing entirely to make wild accusations, or insinuate that I'm a superhero."," I'm sorry, Mr. Stark, but do you honestly expect us to believe that that was a bodyguard in a suit that conveniently appeared, despite the fact that you..."
Christine Everhart, I never said you were a superhero.," I know that it's confusing. It is one thing to question the official story, and another thing entirely to make wild accusations, or insinuate that I'm a superhero."
Tony," Didn't? Well, good, because that would be outlandish and fantastic. I'm just not the hero type. Clearly. With this laundry list of character defects, all the mistakes I've made, largely public.", I never said you were a superhero.
James Rhodes," Just stick to the cards, man."," Didn't? Well, good, because that would be outlandish and fantastic. I'm just not the hero type. Clearly. With this laundry list of character defects, all the mistakes I've made, largely public."
Tony," Yeah, okay. Yeah. The truth is... I am Iron Man."," Just stick to the cards, man."
Tony, Jarvis!,<<NO PROMPT>>
JARVIS,"  Welcome home, Sir. ", Jarvis!
Nick Fury," ""I am Iron Man."" You think you're the only superhero in the world? Mr. Stark, you've become part of a bigger universe. You just don't know it yet.","  Welcome home, Sir. "
Tony, Who the hell are you?," ""I am Iron Man."" You think you're the only superhero in the world? Mr. Stark, you've become part of a bigger universe. You just don't know it yet."
Nick Fury,"  Nick Fury, Director of S.H.I.E.L.D.", Who the hell are you?
Tony,  Ah.,"  Nick Fury, Director of S.H.I.E.L.D."
Nick Fury, I'm here to talk to you about the Avengers Initiative.,  Ah.
Tony, Been a while since I was up here in front of you. Maybe I’ll do us all a favour and just stick to the cards. There’s been some speculation that I was somehow involved in the events that occurred on the freeway and on the rooftop…, I'm here to talk to you about the Avengers Initiative.
Tony, Yes,<<NO PROMPT>>
Pretty much everyone in the crowd, Tony! Tony! Tony! Tony!, Yes
Tony, It’s good to be back. You missed me?, Tony! Tony! Tony! Tony!
Man in crowd, Blow something up!, It’s good to be back. You missed me?
Tony," I missed you too. Blow something up? I already did that. I’m not saying that the world is enjoying its longest period of uninterrupted peace in years because of me. I’m not saying that from the ashes of captivity, never has a greater phoenix metaphor been personified in human history. I’m not saying that Uncle Sam can kick back on a lawn chair, sipping on an iced tea because I haven’t come across anyone who’s man enough to go toe-to-toe with me on my best day.", Blow something up!
Woman in crowd, I love you Tony!," I missed you too. Blow something up? I already did that. I’m not saying that the world is enjoying its longest period of uninterrupted peace in years because of me. I’m not saying that from the ashes of captivity, never has a greater phoenix metaphor been personified in human history. I’m not saying that Uncle Sam can kick back on a lawn chair, sipping on an iced tea because I haven’t come across anyone who’s man enough to go toe-to-toe with me on my best day."
