name,line
Tony, Ow!
JARVIS," Sir, please may I request just a few hours to calibrate..."
Tony, No. Forty-eight. [he injects himself] Ah! Micro-repeater implanting sequence complete.
JARVIS," As you wish, sir. I've also prepared a safety briefing for you to entirely ignore."
Tony," Which I will. Right, let's do this."
Tony," Dummy. Hi, Dummy. How did you get that cap on your head? You earned it."
Tony," Hey. Hey! What are you doing round in the corner? You know what you did. Blood on my mat, handle it."
JARVIS," Sir, may I remind you that you've been awake for nearly seventy-two hours."
Tony," Focus up, ladies. Good evening, and welcome to the birthing suite. I'm pleased to announce the imminent arrival of your bouncing, bad-ass, baby brother."
Tony," Start tight and go wide, stamp in time. Mark 42 autonomous prehensile propulsion suit test. Initialize sequence."
Tony," Jarvis, drop my needle."
Tony, Crap.
Tony," Alright, I think we got this. Send 'em all."
Tony," Probably a little fast, slow it down. Slow it down just a..."
Tony, ...little bit.
Tony," Cool it, will you, Jarvis?"
Tony, Come on. I ain't scared of you.
Tony, I'm the best.
JARVIS," As always, sir, a great pleasure watching you work."
Tony, [voice over] And I guess seventy-two hours isn't a long time between siesta's. Didn't think it could get any worse. Then I had to go and turn on the TV.
Tony, [voice over] That's when he happened.
The Mandarin," Some people call me a terrorist, I consider myself a teacher. America, ready for another lesson. In 1864 in Sand Creek Colorado the U.S. military waited till the friendly Cheyenne braves all gone hunting, waited to attack and slaughter their families left behind, and claim their land. Thirty-nine hours ago the Ali Al Salem Air Base in Kuwait was attacked. I...I...I did that. A quaint military church filled with wives and children, of course. The soldiers were out on maneuvers, the braves were away. President Ellis, you continue to resist my attempts to educate you, sir. And now, you've missed me again. You know who I am, you don't know where I am, and you'll never see me coming."
President Ellis," Central to my Administration's response to this terrorist event, is a newly minted resource. I know him as Colonel James Rhodes, the American people will soon know him as the Iron Patriot."
Bill Maher, And how is President Ellis responding? By taking the guy they call War Machine and giving him a paint job.
Joan Rivers," Same suit, but painted red, white, and blue. Look at rhat. And they also renamed him Iron Patriot. You know, just in case the paint was too subtle."
Colonel James Rhodes," It tested well with focus groups, alright?"
Tony, [putting on a mocking voice] I am Iron Patriot...
Colonel James Rhodes," Listen, War Machine was a little too aggressive, alright? This sends a better message."
Tony," So what's really goin' on? With Mandarin. Seriously, can we talk about this guy?"
Colonel James Rhodes," It's classified information, Tony. Okay, there have been nine bombings."
Tony, Nine.
Colonel James Rhodes," The public only knows about three. Here's the thing, nobody can ID a device. There's no bomb casings."
Tony," You know I can help, just ask. I got a ton of new tech, I got a prehensile, I got a...I got a new bomb disposal. Catches explosions mid-air."
Colonel James Rhodes, When's the last time you got a good night's sleep?
Tony, Einstein slept three hours a year. Look what he did?
Colonel James Rhodes," People are concerned about you, Tony. I'm concerned about you."
Tony, You're gonna come at me like that?
Colonel James Rhodes," No. No, look, I'm not trying to be a dic..."
Colonel James Rhodes, ...tator.
Erin, Do you mind signing my drawing?
Tony," If Richard doesn't mind. [to Rhodes] You alright with this, Dick?"
Colonel James Rhodes, Fine with me.
Tony, [To the girl] What's your name?
Erin, Erin.
Tony," I loved you in A Christmas Story, by the way."
Colonel James Rhodes," Listen, the Pentagon is scared. After what happened in New York... aliens, come on. They need to look strong. Stopping the Mandarin is priority, but it's not..."
Tony," It's not superhero business, I get it."
Colonel James Rhodes," No, it's not, quite frankly. It's American business."
Tony, That's why I said I...got it.
Colonel James Rhodes, Are you okay?
Tony, I broke the crayon.
Erin," Are you okay, Mr. Stark?"
Colonel James Rhodes, Take it easy. Tony...
Little Boy, [the little boy whispers to Tony] How did you get out of the wormhole? How did you get out of the wormhole?
Colonel James Rhodes, Wait a minute! Tony!
Tony, What'd he say?!
Colonel James Rhodes, Tony!
Tony, Sorry. Have to check on the suit...make sure...okay.
Tony," Check the heart, check the...check the...is it the brain?"
JARVIS, No sign of cardiac analomy or unusual brain activity.
Tony," Okay, so I was poisoned?"
Jarvis, My diagnosis is that you've experienced a severe anxiety attack.
Tony, Me?
Colonel James Rhodes," Come on, man. This isn't a good look, open up."
Tony," Sorry, I gotta split."
Happy Hogan," Badge. Badge. Come on, badge. Badge, guys. I put a memo in the toilet, come on. [referring to Tony's robots as Hogan meets with Pepper] Tony has got them in his basement, they're wearing party hats. This is an asset that we can put to use."
Pepper Potts," Uh-huh. So, you're suggesting that I replace the entire janitorial staff with robots?"
Happy Hogan, What I'm saying is that the human element of Human Resources is our biggest point of vulnerability. We should start phasing it out immediately.
Pepper Potts, What!?
Happy Hogan," [to another employee as Hogan walks past them] Excuse me, Bambi."
Pepper Potts, [Hogan points to his badge] Did you just say that?
Happy Hogan, Security.
Pepper Potts, Happy?
Happy Hogan, Yes.
Pepper Potts," Okay, I am thrilled that you're now the Head of Security, okay? It is the perfect position for you."
Happy Hogan, Thank you.
Pepper Potts, However...
Happy Hogan, I do appreciate it
Pepper Potts, Since you've taken the post...
Happy Hogan, You don't have to thank me.
Pepper Potts, We've had a rise in staff complaints of three hundred percent
Happy Hogan, Thank you.
Pepper Potts, That's not a compliment.
Happy Hogan, That's not a compli...? It is a compliment! Clearly somebody's trying to hide something.
Pepper Potts, I...
s Assistant, Excuse me.
Pepper Potts, Yes?
s Assistant," Miss Potts, your four o'clock is here."
Pepper Potts, Thank you.
Happy Hogan, Did you clear this four o'clock with me?
Pepper Potts," Happy, we'll talk about this later. But right now I have to go deal with this very annoying thing."
Happy Hogan, How so?
Pepper Potts," I used to work with him, and he used to ask me out all the time. So it's a little awkward."
Happy Hogan, I don't like the sound of that.
Aldrich Killian, Pepper.
Pepper Potts, Killian?
Aldrich Killian, You look great. You look really great.
Pepper Potts," God, you look...you look great. I... I...I can't... What on earth have you been doing?"
Aldrich Killian," Nothing fancy, just five years in the hands of physical therapists. And please, call me Aldrich."
Happy Hogan, Uh...you were supposed to be issued a security badge.
Pepper Potts," Happy, it's okay."
Happy Hogan, Yes?
Pepper Potts, We're good.
Happy Hogan, You sure?
Pepper Potts, Yes. Stand down.
Happy Hogan," Okay. I'm gonna linger, right here."
Pepper Potts, Thank you.
Happy Hogan, Okay.
Pepper Potts," It's very nice to see you, Killian."
Happy Hogan," Hey, guy."
Savin, Merry Christmas.
Aldrich Killian," After years dodging the President's ban on ""immoral biotech research"", my think tank now has a little something in the pipeline. It's an idea we like to call Extremis. I'm gonna turn your lights down."
Aldrich Killian, Regard the human brain.
Aldrich Killian," Uh...wait. Hold on, hold on. That's...that's the universe, my bad. But if I do that..."
Aldrich Killian," That's the brain. Strangely mimetic though, wouldn't you say?"
Aldrich Killian," Thanks, it's mine."
Pepper Potts, What?
Aldrich Killian, This...you're inside my head. It's a...
Aldrich Killian," It's a live feed. Come on up, I'll prove it to you."
Aldrich Killian, Come on.
Aldrich Killian," Now, pinch my arm. I can take it. Pinch me."
Pepper Potts, What is that?
Aldrich Killian, It's the primary somatosensory cortex. It's the brain's pain center. But this is what I wanted to show you.
Aldrich Killian," Now, Extremis harnesses our bioelectrical potential and it goes...here. This is essentially an empty slot, and what this tells us is that our mind, our entire DNA in fact, is destined to be upgraded."
Pepper Potts, Wow.
Happy Hogan, Hello?
Tony, Is this forehead of Security?
Happy Hogan," What? You know, look, I got a real job. What do you want? I'm working, I got something going on here."
Tony, What? Harassing interns?
Happy Hogan," Let me tell you something, you know what happened when I told people I was Iron Man's body guard? They would laugh in my face."
Happy Hogan," I had to leave while I still had a shred of dignity. Now I got a real job, I'm watching Pepper."
Tony, What's going on? Fill me in.
Happy Hogan, For real?
Tony, Yeah.
Happy Hogan," Alright, so she's meeting up with this scientist. Rich guy, handsome."
Tony, Right.
Happy Hogan," I couldn't make his face at first, right? You know I'm good with faces."
Tony," Oh, Yeah, yeah. You're the best."
Happy Hogan," Yeah. Well, so I run his credentials, I make him Aldrich Killian. We actually met the guy back in... where were we in '99? The science conference?"
Tony, Um...Switzerland.
Happy Hogan," Right, right, exactly."
Tony," Killian? No, I don't remember that guy."
Happy Hogan," Of course you don't. He's not a blond with a big rack. At first it was fine, they were talking business, but now it's like getting weird. He's showing her a big brain."
Tony, His what?
Happy Hogan," Big brain, and she likes it. Here, let me show you. Hold on. See? [he holds his tablet up and points it towards Pepper's glass office, where Aldrich and Pepper are standing close together on the coffee table watching the 3d image of the brain, but all Tony sees is Hogan pointing the tablet camera at himself]"
Tony, Look at what? You watching them? Flip the screen and then we can get started.
Happy Hogan," I'm not a tech genius like you. Just...just trust me, get down down here."
Tony," Flip the screen, then I can see what they're doing."
Happy Hogan, I can't! I don't know how to flip the screen! Don't talk to me like that anymore. You're not my boss.
Happy Hogan," Alright, I don't work for you. Now I don't trust this guy. He's got another guy with him, he's shifty."
Tony, Relax.
Happy Hogan, Seriously?
Tony, I'm just asking you to secure the perimeter. Tell him to go out for a drink or something?
Happy Hogan," You know what? You should take more of an interest in what's going on here. This woman... this woman's the best thing that ever happened to you, and you...you're just ignoring her."
Tony, A giant brain?
Happy Hogan," Yeah, there's a giant brain, there's a shifty character. I'm gonna follow this guy. I'm gonna run his plates and if it gets rough, so be it."
Tony," I miss you, Happy."
Happy Hogan," Yeah, I miss you too. But the way it used to be. Now you're off with the 'superfriends', I don't know what's going on with you anymore. The world's getting weird..."
Tony," Hey, I...I'd hate to cut you off. Do you have your taser on you?"
Happy Hogan, Why?
Tony," I think there's a gal in HR who's trying to steal some printer ink, you should probably go over there and zap her."
Happy Hogan," Yeah, nice."
Aldrich Killian, Imagine if you could hack into the hard drive of any living organism and recode its DNA.
Pepper Potts, It would be incredible.
Aldrich Killian, Mm.
Pepper Potts," Unfortunately, to my ears it also sounds highly weaponizable. As in enhanced soldiers, private armies, and Tony is not..."
Aldrich Killian," Tony. Tony. You know, I invited Tony to join AIM thirteen years ago, he turned me down. But something tells me now there is a new genius on the throne who doesn't have to answer to Tony anymore, and who has slightly less of an ego."
Pepper Potts," It's gonna be a no, Aldrich. As much as I'd like to help you."
Aldrich Killian," Well, I can't say that I'm not disappointed. But then as my father used to say, 'Failure is the fog through which we glimpse triumph.'"
Pepper Potts, That's very deep.
Aldrich Killian, Mm
Pepper Potts, And I have no idea what it means.
Aldrich Killian," Well, me neither. He was kind of an idiot, my old man."
Aldrich Killian," I'm sure I'll see you again, Pepper."
Pepper Potts, Happy...
Happy Hogan," The car is ready, if you're ready to go."
Pepper Potts," Yes. I just um... God, I forgot my... other thing, so... I'm just gonna..."
Pepper Potts, I'm sorry I'm late. I was... What the...? What is that?!
Pepper Potts," You're wearing this in the house now? What is that, like Mark 15?"
Tony, Uh...yeah. Something like that. You know everybody needs a hobby.
Pepper Potts," Oh, and you have to wear your hobby in the living room?"
Tony," Just breakin' it in. You know, it's always a little pinchy in the gooey bag at first, so."
Tony," Oh hey, did you see your Christmas present?"
Pepper Potts," Yes, I did. I...I don't know how I could have missed that Christmas present. Is it gonna fit through the door?"
Tony," Well actually, uh...it's a good question. I got a team of guys comin' tomorrow, they're gonna blow out that wall."
Pepper Potts, Okay.
Tony," So, uh...tense? Good day?"
Tony," Ooh shoulders, a little knotty. Naughty girl. I don't wanna harp on this, but did you like the custom rabbit?"
Pepper Potts, Did I like it?
Tony," Nailed it, right?"
Pepper Potts, Wow. I appreciate the thought very much.
Pepper Potts, So why don't you lift up that face mask and give me a kiss?
Tony," Huh. Yup, dammit. No can do. You wanna just kiss it on the..."
Pepper Potts, Uh-huh.
Tony, The facial slit?
Pepper Potts," Well, why don't I run down to the garage and see if I can't find a crowbar to shimmy that thing open?"
Tony, Crowbar. Yeah.
Tony," Oh, except there's been a...uh...a radiation leak."
Pepper Potts, I'll take my chances.
Tony, That's risky.
Tony, At least let me get you like a Hazmat suit or a Geiger counter or something like that.
Tony, Busted.
Pepper Potts, This is a new level of lame.
Tony, Sorry.
Pepper Potts," You ate without me, already? On date night?"
Tony, [referring to Mark 42 suit] He was just...
Pepper Potts, You mean you?
Tony," Well, yeah. I just mean we were just...just hosting you while I finished up a little work."
Pepper Potts, Uh-huh.
Tony," And yes, I had a quick bite. I didn't know if you were comin' home or if you were having drinks with Aldrich Killian."
Pepper Potts, What?
Tony, What?
Pepper Potts, Aldrich Killian? What are you checking up on me?
Tony, Happy was concerned.
Pepper Potts," No, you're spying on me."
Tony, I wasn't...
Pepper Potts, I'm going to bed.
Tony, Hold on. Come on. Pep.
Tony," Hey, I admit it! My fault. Sorry."
Tony," I'm a piping hot mess. It's been going on for a while, I haven't said anything."
Tony, Nothing's been the same since New York.
Pepper Potts," Oh really? Well, I didn't notice that, at all."
Tony," You experience things and then they're over and you still can't explain 'em. Gods, aliens, other dimensions. I...I'm just a man in a can. The only reason I haven't cracked up is probably because you moved in. Which is great. I love you, I'm lucky. But, honey, I can't sleep. You go to bed, I come down here. I do what I know, I tinker."
Tony," But threat is imminent, and I have to protect the one thing that I can't live without. That's you. My suits, they're uh..."
Pepper Potts, Machines.
Tony, They're part of me.
Pepper Potts, A distraction.
Tony, Maybe.
Pepper Potts, I'm gonna take a shower.
Tony, Okay.
Pepper Potts, And you're gonna join me.
Tony, Better.
Pepper Potts, Tony! Tony! Tony! Tony...
Tony, Power down!
Tony," I must have called it in my sleep. That's not supposed to happen. I'll recalibrate the sensors. Can we just...just let me...just let me catch my breath, okay?"
Tony," Don't go, alright? Pepper?"
Pepper Potts, I'm going to sleep downstairs. Tinker with that.
Savin, Can you regulate?
Taggert," Yes, I can regulate."
Savin, Are you sure about that?
Taggert, Yes.
Savin, It's a decent batch. Don't say I never did nothin' for you.
Taggert, Thank you...I mean for understanding.
Happy Hogan," I'm sorry, buddy."
Savin," What are you doin', buddy? You out by yourself? A little date night? Watching your favorite chick flick maybe?"
Happy Hogan," Yeah, a little movie called ""The Party's Over"", starring you and your junkie girlfriend, and here's the ticket. [Hogan shows him what he took from Taggert's suitcase]"
Savin," No kidding? That doesn't belong to you. [Savin goes to take the item from Hogan's hand, but Hogan punches Savin in the face twice, Hogan notices Savin's face glow red and heal, then Savin grabs hold of Hogan and with super strength throws him aside, as Savin walks towards Hogan, Taggert begins to glow red and turn super hot]"
Taggert, Savin!
Savin, What?
Taggert," Help! Help me! [Taggert suddenly explodes, causing a massive explosion inside the theater which wounds Hogan, as he lies injured, Hogan sees Savin, also glowing red and then healing and walking off as if nothing has happened]"
The Mandarin," True story about fortune cookies. They look Chinese, they sound Chinese, but they're actually an American invention. Which is why they're hollow, full of lies, and leave a bad taste in the mouth. My disciples just destroyed another cheap American knock-off, The Chinese Theater. Mr. President, I know this must be getting frustrating, but this season of terror is drawing to a close. And don't worry, the big one is coming; your graduation."
Tony, Hi.
s Nurse, Oh.
Tony, [referring to the TV] Uh...mind leaving that on?
s Nurse, Sure. [Tony rises from his seat]
Tony," Sunday night's PBS 'Downtown Abbey'. That's his show, he thinks it's elegant. [he pauses for a moment] One more thing...make sure everyone wears their badges. He's a stickler for that sort of thing, plus my guys won't let anyone in without them. [Tony turns to leave]"
Hospital News Reporter, We're awaiting the arrival of Tony. We're hoping he'll give us the reaction...his reaction to the latest attack. [Tony walks out and all the reporters swarm toward him] Mr. Stark! Mr. Stark! Our sources are telling us that this is another Mandarin attack. Anything else you can tell us? [Tony ignores the questions and walks toward his car]
Pushy Tabloid Reporter," Hey, Mr. Stark! When is somebody gonna kill this guy? Just sayin'. [Tony turns to face the reporter]"
Tony," Is that what you want? Here's a little Holiday greeting I've been wanting to send to the Mandarin. I just didn't know how to phrase it until now. My name is Tony and I'm not afraid of you. I know you're a coward, so I've decided [He removes his sunglasses and stares into the phone's camera] that you just died, pal. I'm gonna come get the body. There's no politics here; it's just good old-fashioned revenge. There's no Pentagon; it's just you and me. And on the off-chance you're a man, here's my home address: 10-8-80, Malibu Point, 9-0-2-6-5. I'll leave the door unlocked. [to the reporter] That's what you wanted, right? [He takes the phone and throws it at a wall] Bill me. [Tony gets in his car and drives off]"
JARVIS," I've compiled a Mandarin database for you, sir. Drawn from S.H.I.E.L.D., F.B.I., and C.I.A. intercepts. Initiating virtual crime scene reconstruction. [Tony starts looking at all the data gathered]"
Tony," Okay, what do we got here? His name is an ancient Chinese war mantle, meaning ""adviser to the King"". South American insurgency tactics, talks like a Baptist preacher. There's lots of pageantry going on here...lots of theater. [Tony pushes the virtual information down to close] Close. [Tony looks at the virtual crime scene reconstruction]"
JARVIS, The heat from the blast was in excess of 3000 degrees Celsius. Any subjects within 12.5 yards were vaporized instantly.
Tony, No bomb parts found in a three mile radius of the Chinese theater.
JARVIS," No, sir."
Tony," Talk to me, Happy. [in the virtual reconstruction, Tony sees Hogan pointing his finger at some dog tags] When is a bomb not a bomb? [Tony picks up the virtual image of the dog tags to investigate them further] When is a bomb not a bomb? [Tony picks up the virtual image of the dog tags to investigate them further] Any military victims?"
JARVIS," Not according to public records, sir."
Tony," Bring up the thermogenic signatures again, factor in three thousand degrees."
JARVIS, The oracle cloud has completed analysis. Accessing satellites and plotting the last twelve months of thermogenic occurrence now.
Tony," Take away everywhere that there's been a Mandarin attack. [Tony looks at the information popping up] Nope. [he sees an attack in Rose Hill, Tennessee] That. You sure that's not one of his?"
JARVIS, It predates any known Mandarin attack. The incident was the use of a bomb to assist a suicide.
Tony, Bring her around.
JARVIS, The heat signature is remarkably similar. Three thousand degrees Celsius. [Tony looks at all the information being presented on the Tennessee attack]
Tony," That's two military guys. Ever been to Tennessee, Jarvis?"
JARVIS," Creating a flight plan for Tennessee. [as Tony is about to get ready to leave for Tennessee, he hears his door bell ring]"
Tony," Are we still at ""ding-dong""? We're supposed to be on total security lock down. Come on, I threatened a terrorist. Who is that?"
JARVIS," There's only so much I can do, sir, when you give the world's press your home address. [we see Maya standing outside Tony's house, the glass doors are opened and she enters]"
Tony," Right there's fine. [Tony dressed in his Iron Man suit walks toward her] You're not the Mandarin, are you? Are you?"
Maya Hansen, You don't remember. Why am I not surprised?
Tony," Don't take it personally, I don't remember what I had for breakfast."
JARVIS," Gluten-free waffles, sir."
Tony, That's right.
Maya Hansen," Okay, look, I need to be alone with you. Someplace not here, it's urgent."
Tony," Normally, I'd go for that sort of thing, but now I'm in a committed relationship. [as he turns to walk into the living room, two bags are thrown down from the above balcony] It's...with her."
Pepper Potts," Tony, is somebody there? [Tony steps out of his suit]"
Tony," Yeah, it's Maya Hansen. [Maya smiles] Old botanist pal that I used to know, barely. [as Pepper starts walking downstairs, Tony moves towards Maya and speaks quietly] Please don't tell me that there is a twelve year-old kid waiting in the car that I've never met."
Maya Hansen," He's thirteen. And no, I need your help."
Tony, What...what for? Why now?
Maya Hansen," Because I read the papers, and, frankly, I don't think you'll last the week."
Tony, I'll be fine.
Pepper Potts," I'm sorry. With Happy in the hospital, I didn't know we were expecting guests."
Tony, We weren't.
Maya Hansen," No, I..."
Pepper Potts, And old girlfriends!
Tony, She's not really.
Maya Hansen," No, not really. It...it was just one night."
Tony, Yep.
Pepper Potts," That's how you did it, isn't it? Yep."
Tony, It was a great night.
Pepper Potts," Well, you know..."
Maya Hansen, Yeah.
Pepper Potts, You have saved yourself a world of pain.
Maya Hansen, I'm sure.
Tony, What?
Pepper Potts, Trust me. [to Tony] We're going out of town.
Tony," Okay, we've been through this. Nope."
Pepper Potts, Yep!
Tony, The man says no.
Pepper Potts, Immediately and indefinitely!
Tony, Honey...
Maya Hansen, Great idea. Let's go.
Tony, I'm sorry. That's a terrible idea. Please don't touch her bags.
Pepper Potts," Tony, this is how normal people behave."
Tony, I can't protect you out there. I challenged... [Maya notices giant stuffed rabbit Tony had bought for Pepper]
Maya Hansen, Is...is that normal?
Tony," Yes, this is normal!"
Pepper Potts," Sadly, that...is very normal."
Tony," It's a big bunny, relax about it!"
Pepper Potts, Calm down!
Tony, I got this for you.
Pepper Potts, I'm aware of that.
Tony, You still haven't even told me that you liked it!
Pepper Potts, I don't like it!
Tony," I asked you three... You don't like it?! [as Tony and Pepper are bickering, Maya notices on the TV that helicopters are coming toward Tony's home]"
Pepper Potts," Tony, we are leaving the house; that's not even up for discussion."
Tony, I said no.
Maya Hansen," Guys, can we um..."
Tony, What?
Maya Hansen," [she points to the bomb heading straight for the house] Do we need to worry about that? [The house is suddenly hit, as everything explodes around them, Tony manages to get his Iron Man suit onto Pepper to protect her from the fall, Tony looks over to Maya, who's lying unconscious on the ground, as the ceiling is about to fall on Tony, Pepper saves him with the Iron Man suit]"
Pepper Potts, I got you.
Tony," I got you first. Like I said, we can't stay here. [the helicopters starts shooting at the house] Move! I'm right behind! [as they run to get out, the floor between Pepper and Tony collapses] Get her, I'm gonna find a way around. [Pepper hesitates] Stop stopping! Get her, get outside! Go! [Pepper manages to grab Maya and use the Iron Man suit to get them safely out of the house, but the house gets further destroyed as the helicopters continue to fire on it]"
Pepper Potts, Oh my God. Tony! [back inside as the house is being destroyed around Tony]
JARVIS," Sir, Miss Potts is clear of the structure. [Tony motions for his Iron Man suit to come off Pepper and onto him]"
Tony," Jarvis, where's my flight power?!"
JARVIS," Working on it, sir. This is a prototype. [Tony manages to fire a piano at a helicopter to destroy it]"
Tony, That's one.
JARVIS," Sir, the suit is not combat-ready. [Tony manages to get away from the bullets being fired at him from one of the remaining helicopters and again uses his suit to bring down the helicopter]"
Tony," That's two. [as the helicopter explodes it crashes into the house, the remaining helicopter continues on shooting at the house, finally the remains of house with Tony inside fall into the ocean, Pepper runs to the edge of the cliff and looks down into the ocean. In the water, Tony starts to feel like he's drowning]"
Pepper Potts, Tony!
JARVIS," Sir, take a deep breath. [after a few moments Tony's suit gets its flight power activated by Jarvis] Flight power restored. [finally Tony manages to fly out of the ocean.]"
JARVIS, Sir. Sir!
Tony," Alright, kill the alarm. I got it."
JARVIS," That's the emergency alert triggered by the power dropping below five percent. [Tony notices that he's flying through the snow at night, he falls and crashes into the ground in the middle of a forest, he takes off his face helmet as he lies on the ground catching his breath]"
Tony," It's snowing, right? Where are we, upstate?"
JARVIS," We're five miles outside of Rose Hills, Tennessee."
Tony," Why?! Jarvis! Not my idea! What are we doing here? This is thousands of miles away, I gotta get Pepper, I gotta..."
JARVIS, I prepared a flight plan. This was the location.
Tony, Who asked you? Open the suit.
JARVIS," I...I think I may be malfunctioning, sir."
Tony, Open eject. [the suit gets off Tony and he sits up] That's brisk! [as Tony starts to feel the cold weather.] Maybe I'll just cozy back up for a bit.
JARVIS," I actually think I need to sleep now, sir. [the suit loses power]"
Tony," Jarvis. Jarvis? Don't leave me, buddy. [Tony drags the suit to a petrol station and makes a call to Pepper]"
Computer Voice, Stark Secure Server: Now transferring to all known receivers.
Tony," Pepper, it's me. I've got a lot of apologies to make and not a lot of time. So first off, I'm so sorry I put you in harm's way. That was selfish and stupid and it won't happen again. Also, it's Christmas time, the rabbit's too big. Done. Sorry. And I'm sorry in advance because...I can't come home yet. I need to find this guy. You gotta stay safe. That's all I know. I just stole a poncho from a wooden Indian. [Tony drags the suit to an abandoned looking farmhouse, he places the suit on a couch and sits next to it] Let's get you comfy. [he places its hand by its side] You happy now? [as Tony tries to fix the micro-repeater implants in his arm, a boy stands by the doorway and points his toy gun at Tony]"
Harley Keener, Freeze! Don't move.
Tony," You got me. Nice potato gun. Barrel's a little long. Between that and the wide gauge, it's gonna diminish your FPS. [the boy points his gun at a glass on a shelf and shoots at it, breaking the glass] And now you're out of ammo."
Harley Keener, What's that thing on your chest?
Tony," It's a electromagnet. You should know, you've got a box of them right here."
Harley Keener, What does it power? [Tony stands and points the desk light at his suit sitting on the couch behind him] Oh my God! [Harley drops his toy gun and takes a step towards Tony] Oh my god! That... that's... Is that Iron Man?
Tony," Technically, I am."
Harley Keener," Technically, you're dead. [he give Tony a newspaper which has Tony's picture with the headline 'Mandarin Attack: Stark presumed dead']"
Tony, A valid point.
Harley Keener, [referring to the suit as he sits next to it on the couch checking it out] What happened to him?
Tony," Life. I built him, I take care of him, I'll fix him."
Harley Keener, Like a mechanic?
Tony, Yeah.
Harley Keener, Oh. If I was building Iron Man and War Machine.
Tony, [Interupting Harley] It's Iron Patriot now.
Harley Keener, That's way cooler!
Tony," No, it's not."
Harley Keener," Anyways, I would have added in um... the retro..."
Tony, Retroreflective panels?
Harley Keener, To make him stealth mode.
Tony, You want a stealth mode?
Harley Keener," Cool, right?"
Tony, That's actually a good idea. Maybe I'll build one.
Harley Keener," [as he touches the suit, Harley accidentally snaps off one of its fingers] Oops!"
Tony," Not a good idea! What are you doing? You're gonna break his finger? He's in pain, he's been injured. Leave him alone."
Harley Keener, S...Sorry.
Tony," Are you? Don't worry about it, I'll fix it. So, uh, who's home?"
Harley Keener," Well, my mom already left for the diner and dad went to 7-Eleven to get scratchers. I... I guess he won, 'cause that was six years ago."
Tony," Mm. Which happens, dads leave. No need to be a pussy about it. Here's what I need: a laptop, a digital watch, a cell phone, the pneumatic actuator from your bazooka over there, a map of town, a big spring, and a tuna fish sandwich."
Harley Keener, What's in it for me?
Tony, Salvation. What's his name?
Harley Keener, Who?
Tony," The kid that bullies you at school, what's his name?"
Harley Keener, How'd you know that?
Tony," I got just the thing. [he opens a compartment on the suit and takes out a metal object] This is a pinata for a cricket. I'm kidding, it's a very powerful weapon. Point it away from your face, press the button on top. It discourages bullying. Non-lethal, just to cover one's ass. [Harley reaches out to take it, but Tony pulls his hand away] Deal? Deal? What'd you say?"
Harley Keener, Deal.
Tony, Deal? [Tony gives the object to Harley] What's you're name?
Harley Keener, Harley. And you're...
Tony," The mechanic. Tony [Tony looks at Harley for a moment] You know what keeps going through my head? Where's my sandwich? [back at Tony's house, which is now surrounded by emergency rescue and news reporters, Pepper stands alone and looks out across the ocean. She sees one of Tony's shattered Iron Man helmets and pulls it towards her, her forehead resting against the helmet's. She sees a red flashing light inside the helmet and as she puts the helmet on she receives the message Tony had left her earlier]"
Computer Voice, Stark Secure Server. Retinal scan: Verified.
Tony," Pepper, it's me. [Pepper gasps and smiles] I've got a lot of apologies to make and not a lot of time. So first off, I'm so sorry I put you in harm's way. That was selfish and stupid and it won't happen again."
Pepper Potts, Why were you at the house tonight? What was so important that you had to speak to Tony?
Maya Hansen," [A beat] I think that my boss is working for the Mandarin. So if you still want to talk about it, I suggest that we get ourselves someplace safe."
Pepper Potts," Your boss works for the Mandarin, you think? But Tony says you're a botanist, so..."
Maya Hansen," That figures. What I actually am is a biological DNA coder running a team of forty out of a privately-funded think tank, but sure you can call me a botanist."
Pepper Potts," This boss of yours, does he have a name?"
Maya Hansen," Yeah, Aldrich Killian. [Pepper looks at her in shock]"
Savin," Well, we took the house down, sir..."
Aldrich Killian, Mmhmm.
Savin, But there's no sign of a body.
Aldrich Killian, I see.
Savin, No Stark.
Aldrich Killian," I have to go. [Aldrich rises from his seat walks towards another room] The Master is about to record and he's a little... Well, you know how he gets. Keep your appointment tonight and call me when it's done. [Aldrich walks into a room which has been set up as a set with all of Mandarin's props in place and camera crew ready to record Mandarin's message] Alright everybody. No talking and no eye contact, unless you wanna get shot in the face."
Out," The Master is travelling. [the Mandarin arrives on set and takes a sit, he looks at Aldrich]"
The Mandarin, Well then. What are we waiting for?
Tony," The sandwich was fair, the spring was a little rusty, the rest of the materials, I'll make do. By the way, when you said your sister had a watch, I was kinda hoping for something a little more than that. [he pulls his sleeve up and we see he's wearing a little girl's pink watch, Harley laughs]"
Harley Keener," She's six! Anyway, it's limited edition. When can we talk about New York?"
Tony," Maybe never, relax about it."
Harley Keener," What about The Avengers, can you talk about them?"
Tony," I don't know, later. Hey kid, give me a little space. [they stop and Tony looks at the remains of the local explosion site that Tony came to investigate] What's the official story here? What happened?"
Harley Keener," I guess this guy named Chad Davis, used to live roundabouts, won a bunch of medals in the army. One day, folks said he went crazy and made, you know, a bomb. Then he blew himself up right here. [Tony looks around at the remains]"
Tony," Six people died, right?"
Harley Keener, Yeah.
Tony, Including Chad Davis?
Harley Keener, Yeah. [Tony keeps looking around at the remains of the explosion site]
Tony," Yeah. That doesn't make sense. [he sits next to Harley] Think about it. Six dead, only five shadows."
